,gas,oil,kohle,co2
2022-12-05,NaN,NaN,NaN,87.33
2022-12-06,NaN,NaN,NaN,88.8
2022-12-07,NaN,NaN,NaN,88.37
2022-12-08,NaN,NaN,NaN,89.13
2022-12-09,NaN,NaN,NaN,87.84
2022-12-12,137.1,75.26,259.0,90.05
2022-12-13,139.57,78.1,247.0,89.2
2022-12-14,133.27,80.11,240.6,89.8
2022-12-15,133.27,80.83,240.0,89.08
2022-12-16,115.82,78.29,234.2,87.29
2022-12-19,106.53,78.6,230.5,87.74
2022-12-20,106.53,78.28,233.95,89.47
2022-12-21,94.29,79.55,228.0,87.91
2022-12-22,89.02,80.67,230.0,89.31
2022-12-23,83.5,81.29,228.7,89.57
