,gas,oil,kohle,co2
2022-12-09,135.0,70.09,239.24,NaN
2022-12-12,137.1,70.25,245.81,90.05
2022-12-13,139.57,73.22,232.31,89.2
2022-12-14,133.27,74.91,225.21,89.8
2022-12-15,133.27,75.34,225.79,89.08
2022-12-16,115.82,73.32,221.23,87.29
2022-12-19,106.53,73.8,217.3,87.74
2022-12-20,NaN,NaN,NaN,89.47
