,gas,oil,kohle,co2
2022-11-18,107.37,77.26,NaN,NaN
2022-11-21,111.78,75.28,211.04,74.35
2022-11-22,117.53,79.85,206.72,73.93
2022-11-23,124.05,76.81,205.72,75.93
2022-11-24,NaN,NaN,205.41,78.76
2022-11-25,126.64,76.18,206.45,79.21
