,gas,oil,kohle,co2
2022-12-06,134.99,73.41,254.7,NaN
2022-12-07,139.57,71.76,250.57,88.37
2022-12-08,135.0,71.1,242.91,89.13
2022-12-09,135.0,70.09,239.24,87.84
2022-12-12,137.1,70.25,245.81,90.05
2022-12-13,NaN,NaN,NaN,89.2
