,gas,oil,kohle,co2
2022-11-14,NaN,NaN,187.87,NaN
2022-11-15,116.64,84.07,193.3,77.48
2022-11-16,116.64,84.18,192.39,73.65
2022-11-17,107.37,81.4,194.9,72.13
2022-11-18,107.37,77.26,201.1,72.43
2022-11-21,111.78,75.28,NaN,74.35
