,gas,oil,kohle,co2
2022-11-15,NaN,NaN,193.3,NaN
2022-11-16,116.64,84.18,192.39,NaN
2022-11-17,107.37,81.4,194.9,72.13
2022-11-18,107.37,77.26,201.1,72.43
2022-11-21,111.78,75.28,211.04,74.35
2022-11-22,117.53,79.85,NaN,73.93
2022-11-23,NaN,NaN,NaN,75.93
