,price_real,biomasse_mwh,wasserkraft_mwh,photovoltaik_mwh_real,sonstige_ee_mwh,kernenergie_mwh,braunkohle_mwh,steinkohle_mwh,erdgas_mwh,pumpspeicher_mwh,sonstige_konv_mwh,wind_sum_mwh_real,netzlast_mwh_real,photovoltaik_mwh_forec,wind_sum_mwh_forec,netzlast_mwh_forec,oil,kohle,co2,gas_6am
2022-11-28 00:00:00,129.22,4878.5,1150.75,0.0,133.0,3722.25,12868.0,7709.25,3452.0,193.0,894.25,22877.75,45607.0,0.0,23206.25,49022.25,NaN,NaN,NaN,NaN
2022-11-28 01:00:00,130.46,4843.5,1149.5,0.0,133.0,3651.5,12984.5,7335.25,3196.75,242.5,895.0,23221.75,43644.5,0.0,23389.25,47124.5,NaN,NaN,NaN,NaN
2022-11-28 02:00:00,127.7,4845.5,1154.5,0.0,133.0,3675.0,12937.25,7236.75,3151.5,229.0,888.25,23597.0,43007.25,0.0,23557.25,47075.25,NaN,NaN,NaN,NaN
2022-11-28 03:00:00,119.58,4825.0,1166.75,0.0,133.0,3663.5,12407.0,6820.5,3012.0,206.25,867.5,23677.5,43262.5,0.0,23606.0,47921.25,NaN,NaN,NaN,NaN
2022-11-28 04:00:00,120.07,4811.5,1167.75,0.0,133.0,3735.5,12834.75,7283.25,3155.5,246.25,856.0,24645.25,44596.0,0.0,23469.75,49774.0,NaN,NaN,NaN,NaN
2022-11-28 05:00:00,129.5,4782.25,1137.75,0.0,133.0,3717.25,13046.25,8600.0,3961.75,232.25,833.0,24523.5,49599.75,0.0,23045.75,53830.5,NaN,NaN,NaN,NaN
2022-11-28 06:00:00,193.09,4786.25,1149.5,0.0,133.0,3765.5,13844.75,11579.0,5574.25,1158.75,836.25,23974.0,58150.5,0.0,22744.25,60400.5,NaN,NaN,NaN,NaN
2022-11-28 07:00:00,304.17,4799.75,1143.5,12.0,133.0,3757.0,14146.0,13337.75,7753.25,1341.75,900.75,22745.25,64205.75,28.0,21663.0,65288.5,NaN,NaN,NaN,NaN
2022-11-28 08:00:00,354.63,4817.0,1147.0,477.5,133.0,3730.75,14237.75,13519.75,10882.5,2100.5,1283.75,21469.75,67412.0,505.75,20521.0,68086.25,NaN,NaN,NaN,NaN
2022-11-28 09:00:00,367.7,4813.0,1156.0,1952.25,133.0,3762.75,14320.5,13701.0,11656.75,2152.0,1576.75,19275.5,67748.75,1701.0,18980.75,69010.0,NaN,NaN,NaN,NaN
2022-11-28 10:00:00,370.0,4808.5,1208.25,3475.75,133.0,3785.0,14207.5,13868.75,12139.25,2084.5,1836.0,16913.25,69395.25,3101.0,17091.5,69902.5,NaN,NaN,NaN,NaN
