,price_real,biomasse_mwh,wasserkraft_mwh,photovoltaik_mwh_real,sonstige_ee_mwh,kernenergie_mwh,braunkohle_mwh,steinkohle_mwh,erdgas_mwh,pumpspeicher_mwh,sonstige_konv_mwh,wind_sum_mwh_real,netzlast_mwh_real,photovoltaik_mwh_forec,wind_sum_mwh_forec,netzlast_mwh_forec,oil,kohle,co2,gas_6am
2023-01-12 00:00:00,19.88,4978.5,1480.25,0.0,128.0,2359.75,4985.75,4765.5,3056.75,165.25,978.25,43428.5,50994.5,0.0,41040.75,54629.75,77.1,170.0,80.34,66.37
2023-01-12 01:00:00,5.55,4901.0,1456.25,0.0,128.0,2359.0,4884.0,4418.5,3061.25,200.0,977.0,42304.0,49532.25,0.0,40531.5,52370.0,77.1,170.0,80.34,66.37
2023-01-12 02:00:00,4.69,4839.75,1436.0,0.0,128.0,2359.5,5379.25,4290.0,3035.5,163.5,977.0,40408.75,48822.5,0.0,40926.0,51631.5,77.1,170.0,80.34,66.37
2023-01-12 03:00:00,0.1,4825.5,1465.25,0.0,128.0,2362.5,5343.75,3860.0,3034.25,163.0,961.5,40309.25,48938.75,0.0,40181.0,52464.75,77.1,170.0,80.34,66.37
2023-01-12 04:00:00,2.03,4801.75,1452.75,0.0,127.5,2365.0,5342.25,3742.75,3022.25,249.0,956.25,40300.25,50235.0,0.0,39990.25,54112.0,77.1,170.0,80.34,66.37
2023-01-12 05:00:00,24.94,4800.75,1436.0,0.0,128.0,2361.0,5367.5,3817.25,3079.0,229.75,945.25,43010.25,54119.0,0.0,40031.0,56877.75,77.1,170.0,80.34,66.37
2023-01-12 06:00:00,85.72,4805.25,1430.25,0.0,128.0,2360.5,6007.75,4014.75,3411.25,232.5,948.5,45047.25,62029.5,0.0,40680.25,63345.0,77.1,170.0,80.34,65.44
2023-01-12 07:00:00,111.55,4818.5,1424.5,1.75,130.5,2359.25,7293.75,4791.75,3699.75,3053.5,952.5,46463.75,67787.25,0.0,41160.5,67774.75,77.1,170.0,80.34,65.44
2023-01-12 08:00:00,106.83,4850.5,1425.5,300.5,128.75,2357.75,7552.5,5298.5,4007.5,4204.0,971.25,47483.25,70613.25,338.25,42098.25,70281.0,77.1,170.0,80.34,65.44
2023-01-12 09:00:00,97.83,4894.5,1403.0,1554.0,128.0,2358.0,7142.75,5461.75,3932.75,1914.5,976.5,48270.75,71882.25,1438.5,43310.5,71249.25,77.1,170.0,80.34,65.44
2023-01-12 10:00:00,84.74,4958.0,1407.25,2893.0,128.0,2356.25,6841.0,5485.0,4226.75,1141.5,971.5,48931.25,73310.25,2429.0,44361.75,72129.25,77.1,170.0,80.34,65.44
2023-01-12 11:00:00,87.38,5009.75,1380.0,3681.0,128.0,2352.75,6868.25,5622.75,4530.0,784.25,974.0,49095.75,74574.75,2910.75,45267.5,73282.0,77.1,170.0,80.34,65.44
2023-01-12 12:00:00,75.88,5047.75,1415.25,3851.5,128.0,2352.75,6828.0,5433.5,4286.0,424.0,986.25,48594.5,74114.0,2796.0,45816.0,73449.75,77.1,170.0,80.34,65.44
2023-01-12 13:00:00,81.84,5052.0,1471.75,3452.5,127.75,2351.5,6781.75,5161.75,3865.25,322.75,978.0,48311.0,73089.5,2182.75,45568.5,72500.0,77.1,170.0,80.34,65.44
2023-01-12 14:00:00,88.2,5031.0,1410.0,2475.0,129.5,2345.0,7401.25,4637.25,3630.75,741.5,982.75,47104.25,70685.75,1388.75,44270.75,71397.0,77.1,170.0,80.34,65.44
2023-01-12 15:00:00,95.18,4995.75,1391.75,1201.0,136.25,2343.5,8056.0,4523.5,3645.75,3100.5,990.5,44325.25,69014.0,634.5,42596.75,70925.0,77.1,170.0,80.34,65.44
2023-01-12 16:00:00,99.08,4979.0,1571.75,86.75,143.0,2343.25,7905.75,4824.25,3677.0,3564.25,1019.25,41811.5,67813.75,136.75,41040.0,70691.5,77.1,170.0,80.34,65.44
2023-01-12 17:00:00,112.01,4999.75,1623.5,0.0,149.75,2342.75,8190.0,5516.5,3784.25,7162.25,1034.0,41440.75,69472.0,0.0,40002.0,72318.75,77.1,170.0,80.34,65.44
2023-01-12 18:00:00,119.49,5025.75,1523.75,0.0,154.75,2341.0,7703.25,6099.0,3956.5,7341.75,1052.75,43045.75,69847.5,0.0,39998.25,71983.5,77.1,170.0,80.34,65.44
2023-01-12 19:00:00,100.79,5064.5,1517.25,0.0,145.25,2341.5,7525.0,5741.0,3804.5,5792.0,1018.5,44760.75,68667.25,0.0,41103.5,70185.75,77.1,170.0,80.34,65.44
2023-01-12 20:00:00,99.35,5084.5,1463.5,0.0,139.75,2342.0,6896.25,5411.5,3517.5,2914.5,935.5,45689.25,65174.0,0.0,42159.5,66939.5,77.1,170.0,80.34,65.44
2023-01-12 21:00:00,84.77,5099.0,1544.5,0.0,137.0,2340.5,5961.5,5240.75,3344.0,565.0,924.75,46479.5,61399.0,0.0,42819.5,63837.25,77.1,170.0,80.34,65.44
2023-01-12 22:00:00,70.43,5094.75,1507.0,0.0,132.0,2341.25,4936.0,5133.25,3067.75,701.75,924.75,45782.75,58468.25,0.0,42758.25,61030.0,77.1,170.0,80.34,65.44
2023-01-12 23:00:00,39.57,5044.5,1495.0,0.0,130.0,2342.0,3905.5,5115.25,3159.25,313.75,920.5,45738.5,54925.25,0.0,43103.0,57804.0,77.1,170.0,80.34,65.44
2023-01-13 00:00:00,32.64,4985.5,1484.75,0.0,129.25,2343.25,3911.25,4814.0,3188.5,220.75,916.25,45039.0,52215.25,0.0,44492.5,55511.75,77.98,169.0,79.95,65.44
2023-01-13 01:00:00,16.99,4919.75,1500.5,0.0,128.0,2342.25,4067.75,4318.75,3133.5,175.25,906.0,44628.75,49821.75,0.0,43202.75,53660.0,77.98,169.0,79.95,65.44
2023-01-13 02:00:00,9.0,4889.5,1500.0,0.0,128.0,2341.25,3790.25,4289.25,3118.25,174.0,904.5,43471.25,48727.5,0.0,42173.25,52620.25,77.98,169.0,79.95,65.44
2023-01-13 03:00:00,2.02,4866.25,1486.25,0.0,128.0,2341.0,3781.0,4054.75,3188.25,249.25,900.75,43224.25,48763.25,0.0,41013.75,52891.25,77.98,169.0,79.95,65.44
2023-01-13 04:00:00,2.61,4853.75,1502.0,0.0,128.0,2342.0,3775.5,3958.75,3175.75,206.25,877.0,41381.0,50139.0,0.0,40186.0,54278.75,77.98,169.0,79.95,65.44
2023-01-13 05:00:00,25.26,4839.0,1493.5,0.0,128.0,2341.0,3900.5,3943.5,3406.25,177.0,868.25,41840.0,53390.75,0.0,39741.5,57014.75,77.98,169.0,79.95,65.44
2023-01-13 06:00:00,54.74,4854.0,1546.5,0.0,128.25,2341.25,4265.5,3923.5,3626.5,1044.75,888.0,41887.75,60676.0,0.0,39524.0,62739.25,77.98,169.0,79.95,63.25
