,price_real,biomasse_mwh,wasserkraft_mwh,photovoltaik_mwh_real,sonstige_ee_mwh,kernenergie_mwh,braunkohle_mwh,steinkohle_mwh,erdgas_mwh,pumpspeicher_mwh,sonstige_konv_mwh,wind_sum_mwh_real,netzlast_mwh_real,photovoltaik_mwh_forec,wind_sum_mwh_forec,netzlast_mwh_forec,oil,kohle,co2,gas_6am
2023-01-07 00:00:00,97.15,5020.5,1194.75,0.0,138.0,2410.25,7886.0,2008.0,2998.25,136.75,995.0,19062.0,44572.5,0.0,17249.75,48794.75,73.25,172.3,77.78,65.68
2023-01-07 01:00:00,98.43,4951.75,1178.0,0.0,132.75,2409.0,7929.75,1869.25,2596.25,390.25,980.0,18638.5,41756.25,0.0,16609.75,47083.5,73.25,172.3,77.78,65.68
2023-01-07 02:00:00,96.05,4919.5,1166.5,0.0,131.0,2409.0,7356.0,1934.0,2546.0,224.25,978.25,19284.25,40529.5,0.0,16467.5,45854.75,73.25,172.3,77.78,65.68
2023-01-07 03:00:00,87.97,4877.5,1165.75,0.0,131.0,2409.5,6695.25,2002.0,2542.5,157.75,974.25,20164.0,40013.25,0.0,16690.75,45436.25,73.25,172.3,77.78,65.68
2023-01-07 04:00:00,82.99,4851.0,1168.0,0.0,131.0,2409.5,6577.0,2036.0,2816.25,155.75,941.75,20695.75,40622.0,0.0,16926.75,45703.5,73.25,172.3,77.78,65.68
2023-01-07 05:00:00,83.59,4837.25,1169.75,0.0,131.0,2408.75,6179.5,2066.0,3420.5,184.0,945.0,21008.5,41595.25,0.0,17079.5,45914.5,73.25,172.3,77.78,65.68
2023-01-07 06:00:00,90.76,4865.5,1165.0,0.0,131.0,2408.0,6767.5,2118.25,3852.5,183.75,945.25,21259.5,42840.5,0.0,17351.25,47127.0,73.25,172.3,77.78,65.68
2023-01-07 07:00:00,103.21,4921.0,1182.5,0.0,131.0,2406.25,7615.25,2120.75,4072.0,263.0,952.25,21873.5,45472.25,0.0,17510.75,50107.0,73.25,172.3,77.78,65.68
2023-01-07 08:00:00,111.86,4965.25,1189.5,279.0,131.0,2409.0,7707.25,2123.0,4117.25,921.0,964.75,21949.0,48430.5,484.0,17865.75,53586.25,73.25,172.3,77.78,65.68
2023-01-07 09:00:00,112.0,5015.0,1206.25,2533.75,131.0,2411.5,7892.5,2481.5,4145.0,1635.5,973.5,21097.0,51812.75,2905.0,18297.0,56414.25,73.25,172.3,77.78,65.68
2023-01-07 10:00:00,100.0,5061.5,1208.0,5803.0,131.5,2414.5,8029.5,2485.75,4180.25,2531.75,979.25,20397.0,53664.5,6261.5,18070.75,57877.25,73.25,172.3,77.78,65.68
2023-01-07 11:00:00,88.32,5096.0,1202.25,8616.25,133.75,2412.0,8108.75,2482.0,4254.0,1327.0,979.75,20588.5,55513.75,9158.75,17351.25,58695.75,73.25,172.3,77.78,65.68
2023-01-07 12:00:00,87.9,5134.0,1218.0,9916.25,128.0,2409.25,7803.25,2456.5,4110.25,354.25,964.0,20842.0,54712.25,10565.25,17079.75,58228.5,73.25,172.3,77.78,65.68
2023-01-07 13:00:00,94.05,5123.5,1220.75,9537.5,127.5,2405.25,7588.5,2431.0,3973.5,1004.0,964.25,20534.75,52956.5,9903.0,17571.25,56937.75,73.25,172.3,77.78,65.68
2023-01-07 14:00:00,88.98,5115.0,1204.5,7022.0,126.25,2403.25,7503.0,2404.25,3990.0,785.5,954.75,20718.5,52164.5,7117.25,18331.75,56072.0,73.25,172.3,77.78,65.68
2023-01-07 15:00:00,85.56,5103.0,1202.5,2994.0,127.0,2404.0,7790.0,2395.75,3944.25,1649.0,961.0,21895.75,52554.75,2948.5,20277.75,56013.5,73.25,172.3,77.78,65.68
2023-01-07 16:00:00,94.1,5093.75,1248.5,233.0,133.5,2405.0,8154.75,2433.5,4103.0,3431.75,995.75,24754.0,53764.75,390.5,23530.75,57198.0,73.25,172.3,77.78,65.68
2023-01-07 17:00:00,96.81,5105.75,1272.75,0.0,134.5,2406.75,8520.75,2486.25,4218.25,5407.5,990.0,28193.25,56432.0,0.0,26724.5,59459.5,73.25,172.3,77.78,65.68
2023-01-07 18:00:00,99.52,5134.75,1234.5,0.0,134.0,2410.5,8439.5,2586.75,4959.5,3662.25,991.5,31197.5,56739.5,0.0,29212.5,59923.5,73.25,172.3,77.78,65.68
2023-01-07 19:00:00,94.58,5152.5,1282.75,0.0,127.5,2410.75,7560.25,2650.5,4759.0,1281.5,978.0,32635.0,55029.75,0.0,30899.0,58525.0,73.25,172.3,77.78,65.68
2023-01-07 20:00:00,87.86,5172.25,1267.5,0.0,126.0,2409.5,5919.0,2597.75,4594.75,887.75,982.0,33377.25,52047.0,0.0,31337.5,55704.5,73.25,172.3,77.78,65.68
2023-01-07 21:00:00,61.47,5168.5,1222.25,0.0,126.0,2410.25,4481.0,2447.25,4442.0,495.5,984.5,33441.75,49805.5,0.0,31242.25,53391.25,73.25,172.3,77.78,65.68
2023-01-07 22:00:00,50.0,5140.75,1229.5,0.0,126.0,2410.75,4452.25,2419.5,4373.75,459.5,987.25,32686.25,48610.0,0.0,30364.75,52084.0,73.25,172.3,77.78,65.68
2023-01-07 23:00:00,38.25,5092.0,1216.0,0.0,126.0,2409.75,4440.5,2379.0,4252.5,27.0,989.5,32795.0,45229.5,0.0,29810.25,49739.5,73.25,172.3,77.78,65.68
2023-01-08 00:00:00,10.93,5032.0,1271.75,0.0,126.0,2414.75,4446.5,2249.0,2820.5,36.25,1001.5,32379.0,42731.5,0.0,30493.0,45985.5,73.25,172.3,77.78,65.68
2023-01-08 01:00:00,9.07,4961.75,1335.5,0.0,126.0,2416.25,4450.25,2216.75,2330.75,137.0,999.25,31594.75,41069.75,0.0,28730.0,45012.25,73.25,172.3,77.78,65.68
2023-01-08 02:00:00,9.1,4912.25,1333.5,0.0,126.0,2416.25,4424.5,2274.5,2382.75,81.0,995.75,30436.75,39771.0,0.0,27666.5,44124.25,73.25,172.3,77.78,65.68
2023-01-08 03:00:00,4.16,4864.0,1264.25,0.0,126.0,2416.0,4407.5,2440.0,2336.75,160.75,990.0,28717.25,39584.5,0.0,26144.75,42955.5,73.25,172.3,77.78,65.68
2023-01-08 04:00:00,5.58,4843.0,1258.5,0.0,126.0,2415.25,4404.0,2284.0,2383.75,214.0,989.0,27935.0,40094.75,0.0,25155.75,43382.5,73.25,172.3,77.78,65.68
2023-01-08 05:00:00,9.92,4836.25,1217.75,0.0,126.0,2416.25,4421.5,2211.25,2331.25,169.0,981.5,27270.0,40271.0,0.0,24551.5,43231.25,73.25,172.3,77.78,65.68
2023-01-08 06:00:00,9.02,4853.0,1239.0,0.0,126.0,2417.75,4492.0,2223.0,2312.5,222.25,977.0,26163.0,41233.25,0.0,23720.0,43256.0,73.25,172.3,77.78,65.68
2023-01-08 07:00:00,16.47,4891.75,1249.0,0.25,126.0,2417.5,4508.5,2270.5,2324.25,137.25,981.0,26024.75,41922.5,0.0,23387.0,45351.25,73.25,172.3,77.78,65.68
2023-01-08 08:00:00,49.42,4934.5,1271.25,199.0,126.0,2417.5,4592.0,2294.5,2473.75,99.5,980.75,26091.0,44111.25,317.25,23063.25,47756.25,73.25,172.3,77.78,65.68
2023-01-08 09:00:00,82.8,4976.75,1241.5,1185.5,126.0,2418.25,5596.75,2330.5,2618.0,111.5,998.0,26455.0,47545.75,1636.75,22649.5,50147.25,73.25,172.3,77.78,65.68
2023-01-08 10:00:00,93.7,5020.0,1238.25,2833.75,126.5,2417.5,6497.25,2353.0,2796.5,248.5,998.5,25413.5,50513.0,3188.0,22081.5,52313.25,73.25,172.3,77.78,65.68
2023-01-08 11:00:00,103.87,5069.75,1260.75,4564.25,133.5,2415.75,7277.5,2367.75,2898.75,1407.0,1014.0,24632.5,52993.5,4406.0,21453.25,54432.75,73.25,172.3,77.78,65.68
2023-01-08 12:00:00,101.69,5108.75,1216.5,5325.5,139.25,2414.75,7475.75,2364.5,2893.5,608.0,1016.25,24072.75,53454.5,4709.25,20958.75,54428.5,73.25,172.3,77.78,65.68
2023-01-08 13:00:00,99.0,5127.25,1194.25,4808.75,132.25,2411.75,7556.75,2361.0,2735.75,318.0,1002.0,22988.0,52366.0,4034.25,20375.75,53414.0,73.25,172.3,77.78,65.68
2023-01-08 14:00:00,104.29,5117.5,1196.25,3132.0,141.25,2410.5,7997.5,2367.5,2909.75,308.5,1023.0,21867.0,50423.5,2693.0,19294.0,52342.75,73.25,172.3,77.78,65.68
2023-01-08 15:00:00,103.64,5104.5,1207.25,1308.25,148.0,2409.75,8193.25,2400.25,3039.25,2435.25,1045.25,21216.5,49273.5,1123.25,18527.5,51991.25,73.25,172.3,77.78,65.68
2023-01-08 16:00:00,109.11,5097.0,1189.5,109.5,152.75,2409.75,8378.0,2286.25,3187.75,2993.0,1063.25,23063.0,50863.0,164.5,18749.75,52940.25,73.25,172.3,77.78,65.68
2023-01-08 17:00:00,118.04,5090.5,1229.75,0.0,152.75,2409.75,8424.75,2311.75,3214.25,6198.25,1057.75,24290.0,54663.0,0.0,19845.25,55757.75,73.25,172.3,77.78,65.68
2023-01-08 18:00:00,122.61,5108.0,1248.0,0.0,152.5,2409.75,8424.0,2209.25,3173.25,7130.25,1054.5,24587.0,55973.5,0.0,21045.75,56833.5,73.25,172.3,77.78,65.68
2023-01-08 19:00:00,109.11,5128.25,1267.75,0.0,152.75,2410.25,8508.0,2202.25,3181.5,6105.75,1047.5,24247.5,54427.5,0.0,22269.5,55867.75,73.25,172.3,77.78,65.68
2023-01-08 20:00:00,103.93,5120.0,1257.25,0.0,152.75,2409.75,8601.5,2191.0,3176.75,4925.0,1056.75,24617.0,52315.5,0.0,22817.25,53639.25,73.25,172.3,77.78,65.68
2023-01-08 21:00:00,98.43,5126.25,1232.5,0.0,146.75,2409.0,8960.25,2203.0,3143.75,2648.5,1044.0,24676.75,50696.25,0.0,23245.0,51785.5,73.25,172.3,77.78,65.68
2023-01-08 22:00:00,99.37,5111.5,1204.0,0.0,145.75,2409.25,8985.5,2160.75,3119.25,800.75,1039.25,25269.25,49635.0,0.0,23413.0,50927.0,73.25,172.3,77.78,65.68
2023-01-08 23:00:00,81.34,5065.0,1218.5,0.0,134.5,2409.0,8605.25,2136.5,2947.0,31.75,1007.5,26155.75,46833.75,0.0,23649.0,48494.75,73.25,172.3,77.78,65.68
2023-01-09 00:00:00,75.13,4993.75,1179.25,0.0,128.0,2409.5,7483.25,2144.0,2897.75,4.25,1007.0,26757.75,44271.75,0.0,23932.0,46523.0,73.51,172.6,81.15,65.68
2023-01-09 01:00:00,64.38,4923.25,1188.75,0.0,127.75,2409.5,6141.25,2147.25,2765.75,188.0,1008.75,26696.25,42593.75,0.0,23300.0,45283.0,73.51,172.6,81.15,65.68
2023-01-09 02:00:00,60.28,4880.25,1162.0,0.0,128.0,2408.25,5969.5,2143.75,2793.5,208.25,1007.75,26833.0,42362.5,0.0,23056.75,44503.75,73.51,172.6,81.15,65.68
