,price_real,biomasse_mwh,wasserkraft_mwh,photovoltaik_mwh_real,sonstige_ee_mwh,kernenergie_mwh,braunkohle_mwh,steinkohle_mwh,erdgas_mwh,pumpspeicher_mwh,sonstige_konv_mwh,wind_sum_mwh_real,netzlast_mwh_real,photovoltaik_mwh_forec,wind_sum_mwh_forec,netzlast_mwh_forec,oil,kohle,co2,gas_6am
2022-12-12 00:00:00,280.18,4969.5,962.0,0.0,186.75,3744.0,13881.75,13025.5,11478.5,75.5,1172.5,4329.25,50356.0,0.0,3474.25,49122.5,70.25,259.0,NaN,NaN
2022-12-12 01:00:00,277.68,4889.0,999.5,0.0,187.0,3743.75,13741.75,12535.0,11184.5,158.75,1171.75,4302.0,49068.5,0.0,3599.75,47468.0,70.25,259.0,NaN,NaN
2022-12-12 02:00:00,274.31,4840.25,977.25,0.0,186.75,3743.75,13783.0,12376.75,11053.5,190.75,1157.25,4352.5,48567.0,0.0,3787.5,47134.25,70.25,259.0,NaN,NaN
2022-12-12 03:00:00,269.79,4804.5,1040.5,0.0,186.0,3740.5,13841.5,12706.75,11140.0,195.75,1165.0,4369.75,48715.5,0.0,4108.75,47922.0,70.25,259.0,NaN,NaN
2022-12-12 04:00:00,267.92,4764.0,1141.0,0.0,184.25,3741.5,14221.0,13530.75,11145.25,107.75,1152.75,4650.0,50180.75,0.0,4479.5,49938.0,70.25,259.0,NaN,NaN
2022-12-12 05:00:00,283.71,4739.25,1115.75,0.0,186.0,3741.75,14656.0,14145.5,12953.25,34.0,1148.25,5080.0,53253.0,0.0,4793.0,52997.25,70.25,259.0,NaN,NaN
2022-12-12 06:00:00,392.24,4726.5,1139.75,0.0,186.0,3738.5,15478.5,14780.75,15058.5,412.75,1152.75,5396.0,60908.0,0.0,5038.75,59284.75,70.25,259.0,NaN,137.1
2022-12-12 07:00:00,505.0,4743.0,1203.75,0.75,185.25,3737.5,15922.25,14905.0,16930.5,1829.25,1234.75,5278.75,65811.75,7.5,5153.25,64498.75,70.25,259.0,NaN,137.1
2022-12-12 08:00:00,545.22,4772.5,1284.25,155.75,184.5,3737.0,15921.25,14885.0,17430.25,4314.25,1333.5,5191.0,68672.5,575.75,5233.75,67742.0,70.25,259.0,NaN,137.1
2022-12-12 09:00:00,513.99,4787.25,1129.5,1243.5,184.75,3737.5,16007.75,14980.75,17475.0,3096.0,1381.25,5054.5,69970.5,2708.25,5154.25,68528.0,70.25,259.0,NaN,137.1
2022-12-12 10:00:00,505.47,4830.75,1218.25,3041.0,184.5,3736.0,16038.5,14946.5,17545.25,3942.5,1372.5,4853.75,70188.5,5275.75,4751.5,70215.5,70.25,259.0,NaN,137.1
2022-12-12 11:00:00,497.62,4885.25,1128.5,4915.0,184.25,3738.0,16011.5,14841.75,17546.0,2883.25,1429.75,4441.5,70497.25,7142.75,4269.25,71626.0,70.25,259.0,NaN,137.1
2022-12-12 12:00:00,489.95,4926.25,1093.0,5994.5,184.0,3741.5,15931.75,15052.0,17493.0,812.0,1450.25,4228.5,69378.75,7663.25,4009.25,71674.75,70.25,259.0,NaN,137.1
2022-12-12 13:00:00,482.8,4956.75,1125.25,5416.5,184.0,3741.75,16004.0,15168.25,17365.0,525.75,1396.0,4012.5,68732.25,6636.5,3937.0,70543.5,70.25,259.0,NaN,137.1
2022-12-12 14:00:00,506.04,4966.75,1254.5,3388.0,184.75,3740.0,15963.0,15150.5,17346.75,1302.25,1418.0,4139.5,68608.25,4401.25,3940.0,69657.5,70.25,259.0,NaN,137.1
2022-12-12 15:00:00,535.73,4945.25,1276.0,1085.75,187.75,3738.75,16056.25,15148.25,17437.25,2969.5,1416.5,4141.25,68552.5,1670.25,4139.75,69125.5,70.25,259.0,NaN,137.1
2022-12-12 16:00:00,558.54,4929.5,1381.0,41.5,188.0,3739.5,15990.75,15227.25,17873.5,5622.75,1565.0,4146.75,69418.0,119.0,4558.0,68890.25,70.25,259.0,NaN,137.1
2022-12-12 17:00:00,588.09,4901.75,1444.5,0.0,188.0,3739.75,15918.25,15223.0,17989.25,7275.5,1612.5,3980.0,71217.0,0.0,5040.5,70216.75,70.25,259.0,NaN,137.1
2022-12-12 18:00:00,558.66,4895.5,1251.5,0.0,188.0,3740.75,15943.75,15224.75,18005.0,6088.0,1590.0,4310.75,69803.25,0.0,5428.5,69774.25,70.25,259.0,NaN,137.1
2022-12-12 19:00:00,508.04,4956.25,1137.25,0.0,188.0,3741.0,15903.0,15194.75,17763.75,3313.25,1402.75,4949.5,68791.0,0.0,5670.0,67481.5,70.25,259.0,NaN,137.1
2022-12-12 20:00:00,490.0,5018.25,1069.75,0.0,188.0,3740.5,15830.25,14847.0,17211.75,1812.5,1359.5,5271.0,65605.25,0.0,5795.0,63839.0,70.25,259.0,NaN,137.1
2022-12-12 21:00:00,408.9,5040.0,1095.0,0.0,187.0,3740.75,15093.0,14402.75,15981.0,888.75,1346.5,5605.25,63079.25,0.0,5949.5,61160.0,70.25,259.0,NaN,137.1
2022-12-12 22:00:00,361.32,5052.5,1084.0,0.0,187.0,3740.5,15014.25,14335.0,14782.5,703.0,1193.0,5868.25,61187.25,0.0,6082.25,58701.0,70.25,259.0,NaN,137.1
2022-12-12 23:00:00,313.2,5020.5,1093.25,0.0,187.0,3739.75,14678.25,14413.5,13693.25,321.5,1182.75,5938.25,58779.75,0.0,6287.25,55918.75,70.25,259.0,NaN,137.1
2022-12-13 00:00:00,306.14,4947.5,1080.25,0.0,180.25,3738.5,14066.0,14136.0,14113.0,120.25,1160.75,5944.0,55772.25,0.0,5955.5,51929.75,73.22,247.0,NaN,137.1
2022-12-13 01:00:00,288.11,4861.25,1093.25,0.0,180.0,3740.0,14346.75,14016.0,13718.75,257.0,1156.5,5967.25,54146.25,0.0,6021.5,50101.25,73.22,247.0,NaN,137.1
2022-12-13 02:00:00,285.28,4807.75,1091.0,0.0,180.0,3738.0,14424.25,13930.25,13762.0,168.75,1156.75,5998.25,53361.0,0.0,6025.0,49871.25,73.22,247.0,NaN,137.1
2022-12-13 03:00:00,276.98,4759.25,1095.5,0.0,180.0,3734.25,14765.0,13762.25,12647.0,158.5,1151.0,6160.5,53474.5,0.0,6064.5,50414.5,73.22,247.0,NaN,137.1
2022-12-13 04:00:00,282.3,4729.0,1101.25,0.0,181.0,3737.0,14785.25,13897.5,12451.0,157.5,1126.75,6231.75,54150.5,0.0,6201.75,51706.5,73.22,247.0,NaN,137.1
2022-12-13 05:00:00,316.07,4714.0,1090.25,0.0,187.0,3736.5,15019.5,14331.5,14587.0,187.5,1137.25,6311.75,57044.0,0.0,6381.25,54822.25,73.22,247.0,NaN,137.1
2022-12-13 06:00:00,368.9,4703.5,1249.0,0.0,187.0,3735.5,15148.75,14829.0,17706.75,876.25,1195.75,6310.5,62475.0,0.0,6485.0,60583.5,73.22,247.0,NaN,139.57
2022-12-13 07:00:00,499.7,4711.25,1346.0,0.75,187.0,3733.5,15824.75,14866.25,19405.5,3892.5,1292.5,6603.25,67566.0,5.5,6417.0,65582.0,73.22,247.0,NaN,139.57
2022-12-13 08:00:00,571.76,4727.0,1436.5,350.75,187.0,3734.75,15896.0,14839.5,19653.0,6209.0,1329.75,6950.5,70549.5,860.75,6307.25,68644.5,73.22,247.0,NaN,139.57
2022-12-13 09:00:00,553.29,4749.5,1410.25,2221.5,187.0,3735.0,15891.0,14669.25,19674.0,5768.0,1373.75,6721.0,71709.25,3997.75,6116.5,69303.0,73.22,247.0,NaN,139.57
2022-12-13 10:00:00,518.08,4812.25,1318.75,4910.5,187.0,3734.0,15682.0,14356.75,19681.75,2715.5,1381.25,6470.25,71662.75,7688.5,5639.25,70786.5,73.22,247.0,NaN,139.57
2022-12-13 11:00:00,505.16,4900.25,1298.0,7170.0,187.0,3731.75,15670.5,14668.75,19690.5,1600.25,1400.0,5894.75,70985.0,10497.25,4890.25,72130.5,73.22,247.0,NaN,139.57
2022-12-13 12:00:00,482.78,4978.75,1164.5,7817.0,187.0,3729.5,15679.0,14892.75,19716.75,1223.5,1414.5,5262.0,69908.75,10993.75,4478.75,72133.25,73.22,247.0,NaN,139.57
2022-12-13 13:00:00,506.03,5017.75,1099.25,6497.0,187.0,3727.25,15653.25,15017.75,19691.0,985.75,1372.25,5405.75,69548.75,9200.5,4361.25,71089.0,73.22,247.0,NaN,139.57
2022-12-13 14:00:00,552.71,5003.0,1252.5,3688.5,187.0,3723.75,15891.25,15033.0,19719.0,1429.25,1309.25,6056.5,68670.0,5769.25,4572.25,69980.0,73.22,247.0,NaN,139.57
2022-12-13 15:00:00,570.25,4955.5,1333.5,933.0,187.0,3720.25,15918.25,14616.0,19776.0,3619.75,1315.0,8070.75,68562.5,2045.25,5416.25,69134.75,73.22,247.0,NaN,139.57
2022-12-13 16:00:00,590.0,4912.75,1454.25,28.75,187.0,3723.25,15927.25,14372.5,19763.25,4110.75,1409.75,10224.5,69829.25,113.75,6967.5,69452.25,73.22,247.0,NaN,139.57
2022-12-13 17:00:00,665.01,4890.75,1287.5,0.0,187.0,3725.75,15907.75,14409.5,19729.75,5075.75,1492.75,12414.75,71743.0,0.0,8589.75,70772.5,73.22,247.0,NaN,139.57
2022-12-13 18:00:00,595.94,4911.0,1263.0,0.0,187.0,3724.5,15885.75,14391.75,19763.5,5431.5,1433.75,14538.25,71545.25,0.0,10030.75,70312.75,73.22,247.0,NaN,139.57
2022-12-13 19:00:00,522.58,4977.0,1188.25,0.0,187.0,3723.0,16029.75,14344.25,18941.75,3453.0,1351.75,15423.0,70092.0,0.0,11360.5,67950.5,73.22,247.0,NaN,139.57
2022-12-13 20:00:00,452.47,5040.5,1224.5,0.0,187.0,3723.0,15389.0,14308.75,17308.75,2360.75,1258.5,16316.5,66611.75,0.0,12233.75,64216.0,73.22,247.0,NaN,139.57
2022-12-13 21:00:00,353.79,5067.25,1205.25,0.0,187.0,3723.0,15078.0,14300.0,14834.25,173.25,1176.0,17520.25,64263.5,0.0,12864.75,61492.75,73.22,247.0,NaN,139.57
2022-12-13 22:00:00,321.03,5070.75,1183.25,0.0,187.0,3724.5,15080.5,14312.75,13143.25,110.25,1170.0,17254.25,61513.5,0.0,13252.5,59060.5,73.22,247.0,NaN,139.57
2022-12-13 23:00:00,283.08,5021.5,1209.75,0.0,186.75,3724.75,15070.25,13999.5,12073.25,204.0,1178.0,17181.75,58638.75,0.0,13494.5,56150.75,73.22,247.0,NaN,139.57
2022-12-14 00:00:00,274.82,4943.5,1200.5,0.0,186.5,3725.5,14963.25,13553.5,11472.5,331.5,1133.0,16828.0,56314.75,0.0,14351.5,53305.0,74.91,240.6,89.8,139.57
2022-12-14 01:00:00,270.47,4853.0,1159.75,0.0,187.0,3726.25,14851.25,13444.5,10911.0,166.0,1132.0,16311.5,54756.25,0.0,13798.5,51296.25,74.91,240.6,89.8,139.57
2022-12-14 02:00:00,268.69,4794.5,1179.0,0.0,187.0,3725.5,14851.5,13279.5,10800.5,163.5,1132.25,15643.75,53089.25,0.0,13299.75,51080.25,74.91,240.6,89.8,139.57
2022-12-14 03:00:00,278.2,4751.5,1224.25,0.0,183.75,3725.5,14919.0,13109.75,10042.75,164.5,1118.5,15475.25,53612.25,0.0,12710.5,51571.75,74.91,240.6,89.8,139.57
2022-12-14 04:00:00,280.21,4734.5,1189.25,0.0,187.0,3718.25,14811.75,13171.25,10102.75,172.25,1116.0,14543.75,53975.5,0.0,12085.5,52989.5,74.91,240.6,89.8,139.57
2022-12-14 05:00:00,311.11,4708.25,1171.0,0.0,187.0,3717.0,15001.0,13747.25,11744.75,328.25,1101.75,13515.5,56420.25,0.0,11434.0,56097.25,74.91,240.6,89.8,139.57
2022-12-14 06:00:00,368.82,4704.5,1181.75,0.0,187.0,3716.0,15225.25,14075.75,16810.25,566.75,1108.5,12283.25,62150.75,0.0,10861.5,61659.0,74.91,240.6,89.8,133.27
2022-12-14 07:00:00,494.97,4717.25,1181.0,0.0,187.0,3715.5,16085.0,14354.25,18939.5,1446.0,1244.75,11727.0,67139.5,6.0,10036.25,65889.0,74.91,240.6,89.8,133.27
